Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Laptop w/Bag,79519,ITS,11/26/2013,$78.51 ,$1.81 ,0.23,$18.05 ,$18.05 ,Successful,1/3/2014,,74576,,,3603198592,"$3,000 ",$0.00 ,$60.45 ,General Fund,0
21 Dell Optiplex 760 Computers,79530,ITS,11/26/2013,$451.51 ,$10.38 ,0.23,$103.84 ,$103.84 ,Successful,1/16/2014,,"75160, 75144, 75143, 75165, 75149, 75167, 75140, 75145, 75138, 75148, 75204, 75192, 75162, 75210, 75151, 75154, 75170, 75157, 75150, 75161, 75212",,,3604173051,"$3,000 ",$0.00 ,$347.66 ,General Fund,0
"4 Asanti 24"" Chrome Rims",79539,DRUG TASK FORCE,11/27/2013,"$2,000.00 ",$0.00 ,0.23,$460.00 ,$460.00 ,Successful,1/2/2014,,TF-311-057,,,Cashiers Check,"$3,000 ",$0.00 ,"$1,540.00 ",Enterprise,0
10Kt Yellow Gold Rope Chain,79577,DRUG TASK FORCE,12/4/2013,$815.00 ,$0.00 ,0.23,$187.45 ,$187.45 ,Successful,1/8/2014,,TF-310-007A,,,Money Order,"$3,000 ",$0.00 ,$627.55 ,Enterprise,0
Men's Diamond Watch,79589,DRUG TASK FORCE,12/11/2013,$460.00 ,$10.58 ,0.23,$105.80 ,$105.80 ,Successful,1/13/2014,,TF-310-023,,,3603880864,"$3,000 ",$0.00 ,$354.20 ,Enterprise,0
Coach Purse,79618,DRUG TASK FORCE,12/2/2013,$29.00 ,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,1/2/2014,,TF-311-036Y,,,3603060937,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
1994 Pontiac Firebird,79630,POLICE STATE DRUG FUND,12/5/2013,$568.00 ,$0.00 ,0.23,$130.64 ,$130.64 ,Successful,1/7/2014,,,,1038757,Money Order,"$3,000 ",$105.00 ,$332.36 ,Enterprise,0
Wheel Chair Lift,79662,SCHOOL BOARD WAREHOUSE,12/4/2013,$158.99 ,$3.66 ,0.23,$36.56 ,$36.56 ,Successful,1/13/2014,,SBS-6182,,,3603868643,"$3,000 ",$0.00 ,$122.42 ,Enterprise,0
1 Pallet of Assorted Tires,79667,SCHOOL BOARD WAREHOUSE,12/4/2013,$106.00 ,$2.44 ,0.23,$24.38 ,$24.38 ,Successful,1/6/2014,,SBS-6170D,,,3603354629,"$3,000 ",$0.00 ,$81.62 ,Enterprise,0
3 Catalytic Converters,79706,OFM,12/5/2013,$125.01 ,$0.00 ,0.23,$28.75 ,$28.75 ,Successful,1/7/2014,,OFM-75625A,,,Money Order,"$3,000 ",$0.00 ,$96.25 ,Enterprise,0
Ladies Sunglasses,79730,DRUG TASK FORCE,12/10/2013,$77.00 ,$1.77 ,0.23,$17.71 ,$17.71 ,Successful,1/2/2014,,TF-311-056J,,,3603081450,"$3,000 ",$0.00 ,$59.29 ,Enterprise,0
Ladies Sunglasses,79733,DRUG TASK FORCE,12/11/2013,$62.00 ,$0.00 ,0.23,$14.26 ,$14.26 ,Successful,1/21/2014,,TF-311-056M,,,Money Order,"$3,000 ",$0.00 ,$47.74 ,Enterprise,0
Ladies Sunglasses,79736,DRUG TASK FORCE,12/16/2013,$145.00 ,$0.00 ,0.23,$33.35 ,$33.35 ,Successful,1/2/2014,,TF-311-056P,,,Cashiers Check,"$3,000 ",$0.00 ,$111.65 ,Enterprise,0
Ladies Sunglasses,79737,DRUG TASK FORCE,12/17/2013,$29.00 ,$0.00 ,0.23,$6.67 ,$6.67 ,Successful,1/2/2014,,TF-311-056Q,,,Cashiers Check,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
Ladies Sunglasses,79743,DRUG TASK FORCE,12/18/2013,$80.00 ,$0.00 ,0.23,$18.40 ,$18.40 ,Successful,1/2/2014,,TF-311-056S,,,Cashiers Check,"$3,000 ",$0.00 ,$61.60 ,Enterprise,0
4 Air Tanks,79744,SHERIFF,12/11/2013,$28.00 ,$0.64 ,0.23,$6.44 ,$6.44 ,Successful,1/8/2014,,"75548, 75549, 75550, 75551",,,3603481790,"$3,000 ",$0.00 ,$21.56 ,General Fund,0
Sunglasses,79745,DRUG TASK FORCE,12/18/2013,$258.00 ,$0.00 ,0.23,$59.34 ,$59.34 ,Successful,1/2/2014,,TF-311-056T,,,Cashiers Check,"$3,000 ",$0.00 ,$198.66 ,Enterprise,0
Southbend Fryer,79759,SCHOOL BOARD WAREHOUSE,12/11/2013,$258.00 ,$0.00 ,0.23,$59.34 ,$59.34 ,Successful,1/21/2014,,SBS-6120,,,Money Order,"$3,000 ",$0.00 ,$198.66 ,Enterprise,0
Desk,79762,PARKS,12/11/2013,$8.00 ,$0.18 ,0.23,$1.84 ,$1.84 ,Successful,1/14/2014,,73776,,,3603986157,"$3,000 ",$0.00 ,$6.16 ,General Fund,0
3 File Cabinets,79765,PUBLIC DEFENDER,12/12/2013,$33.11 ,$0.76 ,0.23,$7.61 ,$7.61 ,Successful,1/15/2014,,"74820, 74821, 74822",,,3604097208,"$3,000 ",$0.00 ,$25.49 ,General Fund,0
2 Care Play Easels,79792,SURPLUS WAREHOUSE,12/16/2013,$65.00 ,$1.50 ,0.23,$14.95 ,$14.95 ,Successful,1/14/2014,,74836,,,3603946008,"$3,000 ",$0.00 ,$50.05 ,General Fund,0
Hammond Organ w/Bench,79799,SURPLUS WAREHOUSE,12/16/2013,$62.78 ,$1.44 ,0.23,$14.43 ,$14.43 ,Successful,1/14/2014,,75582,,,3603986174,"$3,000 ",$0.00 ,$48.34 ,General Fund,0
"3 Sony 20"" Televisions",79800,SURPLUS WAREHOUSE,12/16/2013,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/14/2014,,75580,,,3603986210,"$3,000 ",$0.00 ,$1.54 ,General Fund,0
"Dell 17"" Flat Screen Monitor",79824,SHERIFF,12/16/2013,$27.00 ,$0.00 ,0.23,$6.21 ,$6.21 ,Successful,1/2/2014,,69789,,,Money Order,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
Clear Modem,79846,POLICE STATE FELONY FORFEITURE,12/17/2013,$16.00 ,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,1/22/2014,,PSFF-34-067,,,3604575676,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
7 Stereo Headsets for iPhone,79847,POLICE STATE FELONY FORFEITURE,12/17/2013,$36.00 ,$0.83 ,0.23,$8.28 ,$8.28 ,Successful,1/23/2014,,PSFF-34-054A,,,3604637978,"$3,000 ",$0.00 ,$27.72 ,Enterprise,0
11 Apple Dock Connectors to USB,79848,POLICE STATE FELONY FORFEITURE,12/17/2013,$25.00 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,1/22/2014,,PSFF-34-054B,,,3604575687,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
11 Apple Dock Connectors to USB,79849,POLICE STATE FELONY FORFEITURE,12/17/2013,$38.00 ,$0.00 ,0.23,$8.74 ,$8.74 ,Successful,1/2/2014,,PSFF-34-054C,,,Money Order,"$3,000 ",$0.00 ,$29.26 ,Enterprise,0
